id,type,name,status,description,epic
1,TASK,Test Task,NEW,Описание задачи,
5,TASK,Задача 2,NEW,Описание задачи 2,
10,TASK,Задача 2,NEW,Описание задачи 2,
15,TASK,Задача 2,NEW,Описание задачи 2,
16,EPIC,Эпик 1,NEW,Описание эпика 1,
2,EPIC,Test Epic,NEW,Описание эпика,
6,EPIC,Эпик 1,NEW,Описание эпика 1,
11,EPIC,Эпик 1,NEW,Описание эпика 1,
0,SUBTASK,Подзадача 2,NEW,Описание подзадачи 2,16
17,SUBTASK,Подзадача 1,NEW,Описание подзадачи 1,16
18,SUBTASK,Подзадача 2,NEW,Описание подзадачи 2,16
3,SUBTASK,Test Subtask,NEW,Описание подзадачи,2
7,SUBTASK,Подзадача 1,NEW,Описание подзадачи 1,6
8,SUBTASK,Подзадача 2,NEW,Описание подзадачи 2,6
12,SUBTASK,Подзадача 1,NEW,Описание подзадачи 1,11
13,SUBTASK,Подзадача 2,NEW,Описание подзадачи 2,11

